rank,composite,rho,hof,d,p,maxtan,smiles
35,0.9750091081062048,1.9744741916656494,154.2139892578125,9.592690467834473,38.935211181640625,0.0,O=[N+]([O-])Nc1c([N+](=O)[O-])nc([N+](=O)[O-])c2nnc([N+](=O)[O-])n12
36,0.9722482478803517,1.9513168334960938,155.11996459960938,9.38022232055664,37.86931228637695,0.0,O=c1[nH]c(N[N+](=O)[O-])nn2c([N+](=O)[O-])nc([N+](=O)[O-])c12
37,0.9716869425153666,1.952620506286621,225.14312744140625,9.30027961730957,38.38972091674805,0.0,O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c12
38,0.9699763886740875,1.9460541009902954,154.33541870117188,9.388437271118164,38.332481384277344,0.0,O=[N+]([O-])N=C(Cc1nonc1[N+](=O)[O-])[N+](=O)[O-]
39,0.9676512122944368,1.9526758193969727,232.34170532226562,9.390924453735352,38.346656799316406,0.0,O=[N+]([O-])c1nnn2c([N+](=O)[O-])nc3c(nc([N+](=O)[O-])n3[N+](=O)[O-])c12
40,0.9667463526388741,1.9453811645507812,219.28411865234375,9.33183479309082,37.937461853027344,0.0,O=c1c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])nn12
41,0.9641478049185697,1.9494394063949585,185.80337524414062,9.479623794555664,38.211402893066406,0.0,O=c1c2c([N+](=O)[O-])nc([N+](=O)[O-])n2nc([N+](=O)[O-])n1C=N[N+](=O)[O-]
42,0.9640868473378098,1.9364935159683228,145.35552978515625,9.39268684387207,38.2835693359375,0.0,O=[N+]([O-])C=Nn1c(N[N+](=O)[O-])nnc1[N+](=O)[O-]
43,0.9631945641373433,1.934411883354187,243.00048828125,9.176277160644531,38.350059509277344,0.0,O=[N+]([O-])ON([N+][O-])c1nnnn1-c1nnn[nH]1
44,0.9605043252391134,1.9787671566009521,152.84457397460938,9.274918556213379,37.495574951171875,0.0,O=C1N([N+][O-])Nc2c([N+](=O)[O-])c([N+](=O)[O-])c3nnnn3c2N1[N+](=O)[O-]
45,0.9593059039575267,1.9613885879516602,168.00247192382812,9.462360382080078,37.93397521972656,0.0,O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-]
46,0.957704500888073,1.9351948499679565,266.3327941894531,9.292144775390625,38.03531265258789,0.0,O=[N+]([O-])c1cn2c([N+](=O)[O-])nc([N+](=O)[O-])nc2n1
47,0.9573951846116291,1.9502779245376587,144.39752197265625,9.285884857177734,37.97090148925781,0.0,O=Cc1c(N=C([N+](=O)[O-])[N+](=O)[O-])nnn1[N+](=O)[O-]
48,0.9559127460984929,1.9546681642532349,222.15634155273438,9.307888984680176,36.98883056640625,0.0,O=c1c2nc([N+](=O)[O-])nn2c([N+](=O)[O-])cn1[N+](=O)[O-]
49,0.9523878267630741,1.95013427734375,223.7818603515625,9.406634330749512,37.89277267456055,0.0,O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12
50,0.9523272474792196,1.930111050605774,156.0870361328125,9.345932960510254,37.35601043701172,0.0,O=c1nc([N+](=O)[O-])nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])nn12
51,0.952263585794588,1.9460053443908691,162.57098388671875,9.299360275268555,37.19561767578125,0.0,O=[N+]([O-])Nc1nc2nc([N+](=O)[O-])nn2c(O)c1[N+](=O)[O-]
52,0.9517882850053894,1.9503881931304932,155.96832275390625,9.42672348022461,37.278358459472656,0.0,O=c1c2c([N+](=O)[O-])nc([N+](=O)[O-])n2nc([N+](=O)[O-])n1C[N+](=O)[O-]
53,0.9509419579311477,1.9105829000473022,221.810791015625,9.148675918579102,38.83189392089844,0.0,O=c1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])[nH]n12
54,0.9499070899831454,1.973848819732666,126.78176879882812,9.309249877929688,37.25379943847656,0.0,O=[N+]([O-])c1[nH]c2nnc([N+](=O)[O-])n2c1[N+](=O)[O-]
55,0.9491693349793758,1.9604227542877197,208.72506713867188,9.353238105773926,38.15020751953125,0.0,O=[N+]([O-])N=Cc1c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-]
56,0.9484818283794988,1.9563467502593994,87.2708740234375,9.437993049621582,37.53014373779297,0.0,O=c1n(N[N+](=O)[O-])c(=NF)c2nn([N+](=O)[O-])nc2n1N[N+](=O)[O-]
57,0.948075370875209,1.9547524452209473,126.69284057617188,9.328609466552734,36.913124084472656,0.0,O=c1n([N+](=O)[O-])c([N+](=O)[O-])cc2nnc([N+](=O)[O-])n12
58,0.9476623996123922,1.9571959972381592,163.4583740234375,9.283079147338867,36.557762145996094,0.0,O=[N+]([O-])c1nc2nncn2c([N+](=O)[O-])c1[N+](=O)[O-]
59,0.947252201203367,1.952043056488037,173.3309326171875,9.248346328735352,37.315303802490234,0.0,O=[N+]([O-])N=Cc1nc2noc([N+](=O)[O-])c2n1[N+](=O)[O-]
60,0.945345326451613,1.9427921772003174,161.01919555664062,9.37193775177002,37.996673583984375,0.0,O=c1n([N+](=O)[O-])c([N+](=O)[O-])nc2nc([N+](=O)[O-])c(C=N[N+](=O)[O-])n12
61,0.9445977992167505,1.9591054916381836,184.63787841796875,9.346290588378906,35.895973205566406,0.0,Nc1c([N+](=O)[O-])n([N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])nc12
62,0.9445541715598995,1.9525022506713867,251.07022094726562,9.324262619018555,37.39708709716797,0.0,O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2nnn3c([N+](=O)[O-])c([N+](=O)[O-])nc3c12
63,0.9433163697918774,1.9595062732696533,238.16458129882812,9.391185760498047,37.27107238769531,0.0,O=[N+]([O-])N=Cn1nnc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c21
