rank,composite,rho,hof,d,p,maxtan,smiles
1,1.0293216806390688,1.9939886331558228,239.3802490234375,9.536449432373047,40.89537048339844,0.0,O=[N+]([O-])c1nonc1-c1c([N+](=O)[O-])no[n+]1[O-]
2,1.0293216806390688,1.9569343328475952,157.07748413085938,9.577664375305176,40.434608459472656,0.0,O=[N+]([O-])Nc1nonc1[N+](=O)[O-]
3,1.0293216806390688,1.9867396354675293,154.48760986328125,9.55391788482666,40.49268341064453,0.0,O=[N+]([O-])c1noc([N+](=O)[O-])n1
4,1.0293216806390688,1.967637062072754,226.68539428710938,9.515233993530273,40.249977111816406,0.0,O=[N+]([O-])Nn1nnnc1-c1nnnn1[N+](=O)[O-]
5,1.0293216806390688,1.9682332277297974,185.91537475585938,9.681809425354004,42.48176574707031,0.0,O=[N+]([O-])c1non1[N+](=O)[O-]
6,1.0293216806390688,1.9923113584518433,174.46054077148438,9.508146286010742,40.524147033691406,0.0,O=N[N+]([O-])c1nnc([N+](=O)[O-])n1O
7,1.0293216806390688,1.9686349630355835,166.54864501953125,9.728294372558594,42.51081848144531,0.0,O=[N+]([O-])c1non1[N+][O-]
8,1.0293216806390688,2.0069432258605957,189.90350341796875,9.51230239868164,40.66289138793945,0.0,O=[N+]([O-])c1nc2nonc2n1[N+](=O)[O-]
9,1.0286805779429984,1.9754401445388794,208.76141357421875,9.498706817626953,39.955692291259766,0.0,O=c1c2c([N+](=O)[O-])nnn2nc([N+](=O)[O-])n1[N+][O-]
10,1.0261600071689891,1.9854962825775146,141.54226684570312,9.665678977966309,40.77665710449219,0.0,O=c1nc2n([N+](=O)[O-])nnn2c(=O)n1[N+](=O)[O-]
11,1.0239399838180143,1.9507447481155396,208.60049438476562,9.452066421508789,40.495941162109375,0.0,[N-]=[N+]=Nc1n[n+]([O-])c(N=[N+]=[N-])n[n+]1[O-]
12,1.0219848572950516,1.9809291362762451,191.05130004882812,9.43471908569336,40.97883605957031,0.0,O=[N+]([O-])c1nonc1[N+](=O)[O-]
13,1.0196602111220037,1.9968740940093994,193.69970703125,9.414140701293945,40.83127975463867,0.0,O=[N+]([O-])c1nnc2onc([N+](=O)[O-])n12
14,1.0196447209111017,1.9763906002044678,233.73275756835938,9.661239624023438,39.140037536621094,0.0,O=[N+]([O-])c1no[n+]([O-])c1-c1no[n+]([O-])c1-c1c([N+](=O)[O-])no[n+]1[O-]
15,1.0191760919672406,1.9690043926239014,192.37344360351562,9.620688438415527,39.09861755371094,0.0,O=[N+]([O-])c1nonc1/N=[N+](\[O-])c1nonc1[N+](=O)[O-]
16,1.0191035941407298,1.9318442344665527,209.11431884765625,9.600939750671387,42.201194763183594,0.0,O=[N+]([O-])c1no[n+]([O-])n1
17,1.0177990880115753,1.996500015258789,255.61895751953125,9.625486373901367,38.97703552246094,0.0,O=[N+]([O-])c1c(N=Nc2no[n+]([O-])c2[N+](=O)[O-])no[n+]1[O-]
18,1.017566915088301,1.9975440502166748,268.297119140625,9.680010795593262,38.9565544128418,0.0,O=[N+]([O-])c1no[n+]([O-])c1N=Nc1c([N+](=O)[O-])no[n+]1[O-]
19,1.0175480151166292,1.971534013748169,192.48095703125,9.497222900390625,38.98265838623047,0.0,O=[N+]([O-])c1nonc1Oc1nonc1[N+](=O)[O-]
20,1.0171544348147155,1.9326667785644531,143.60525512695312,9.549278259277344,40.139488220214844,0.0,O=[N+]([O-])/N=c1\[nH]nnn1N[N+](=O)[O-]
21,1.0170093906071607,1.968648910522461,305.42791748046875,9.390739440917969,41.070594787597656,0.0,[N-]=[N+]=Nc1nnnn1[N+](=O)[O-]
22,1.0159595301047717,1.9871551990509033,249.80316162109375,9.381490707397461,40.66731643676758,0.0,O=[N+]([O-])c1nonc1-c1nonc1[N+](=O)[O-]
23,1.0156511521411347,1.9539740085601807,151.25015258789062,9.423913955688477,39.548622131347656,0.0,O=[N+]([O-])c1nnn([N+](=O)[O-])c1O
24,1.0150255461857483,2.00593900680542,183.17074584960938,9.611257553100586,41.20319366455078,0.0,O=[N+]([O-])c1nnc2n([N+](=O)[O-])nc([N+](=O)[O-])n12
25,1.0150255461857483,1.970813274383545,196.44094848632812,9.736522674560547,40.33258056640625,0.0,O=[N+]([O-])c1noc(-n2c([N+](=O)[O-])nnc2[N+](=O)[O-])n1
26,1.0150255461857483,1.9813995361328125,171.33477783203125,9.618967056274414,40.440582275390625,0.0,O=c1nc2n([N+](=O)[O-])nc([N+](=O)[O-])nc-2n1[N+](=O)[O-]
27,1.0150255461857483,1.9952704906463623,183.85403442382812,9.560684204101562,40.669334411621094,0.0,O=[N+]([O-])c1nn([N+](=O)[O-])c2c1nnn2[N+](=O)[O-]
28,1.0150255461857483,2.0095643997192383,173.67642211914062,9.566240310668945,40.48039245605469,0.0,O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nnc([N+](=O)[O-])n12
29,1.0150255461857483,2.0083107948303223,169.76046752929688,9.565600395202637,40.39938735961914,0.0,O=c1c([N+](=O)[O-])nn([N+](=O)[O-])c2nnc([N+](=O)[O-])n12
30,1.0150255461857483,1.9847161769866943,205.08706665039062,9.526872634887695,40.80240249633789,0.0,O=[N+]([O-])c1nc2c(nnn2[N+](=O)[O-])n1[N+](=O)[O-]
31,1.0150255461857483,2.0059001445770264,161.28240966796875,9.622184753417969,40.08087921142578,0.0,O=c1nc([N+](=O)[O-])n2nnc([N+](=O)[O-])c2n1[N+](=O)[O-]
32,1.0150255461857483,2.0101089477539062,214.3348388671875,9.522768020629883,41.073158264160156,0.0,O=[N+]([O-])c1nn2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-]
33,1.0150255461857483,1.9794353246688843,170.72183227539062,9.53012466430664,40.14473342895508,0.0,O=c1c2c([N+](=O)[O-])nnn2nc([N+](=O)[O-])n1[N+](=O)[O-]
34,1.0150255461857483,2.0122427940368652,151.66558837890625,9.568037033081055,41.389312744140625,0.0,O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2n1[N+](=O)[O-]
35,1.0150255461857483,1.9987759590148926,192.81600952148438,9.625991821289062,41.47474670410156,0.0,O=c1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2n1[N+](=O)[O-]
